iter	Passed	Remaining
388	2830	1535
389	2838	1528
390	2845	1521
391	2853	1514
392	2860	1506
393	2867	1499
394	2874	1491
395	2881	1484
396	2890	1477
397	2897	1470
398	2903	1462
399	2910	1455
400	2918	1448
401	2925	1440
402	2932	1433
403	2940	1426
404	2946	1418
405	2954	1411
406	2961	1404
407	2968	1396
408	2975	1389
409	2982	1381
410	2988	1374
411	2995	1366
412	3001	1359
413	3009	1352
414	3017	1344
415	3023	1337
416	3030	1329
417	3037	1322
418	3043	1314
419	3050	1307
420	3057	1299
421	3063	1292
422	3070	1284
423	3077	1277
424	3084	1269
425	3090	1262
426	3097	1255
427	3104	1247
428	3111	1240
429	3117	1232
430	3125	1225
431	3131	1217
432	3138	1210
433	3145	1202
434	3154	1196
435	3162	1189
436	3170	1182
437	3177	1175
438	3186	1168
439	3194	1161
440	3202	1154
441	3210	1147
442	3218	1140
443	3224	1133
444	3231	1125
445	3238	1118
446	3244	1110
447	3251	1103
448	3258	1095
449	3264	1088
450	3271	1080
451	3277	1073
452	3284	1065
453	3292	1058
454	3298	1051
455	3305	1043
456	3311	1036
457	3318	1028
458	3325	1021
459	3332	1014
460	3338	1006
461	3345	999
462	3352	991
463	3358	984
464	3365	976
465	3371	969
466	3379	962
467	3387	955
468	3394	948
469	3401	940
470	3407	933
471	3414	925
472	3420	918
473	3426	910
474	3433	903
475	3440	896
476	3446	888
477	3453	881
478	3460	874
479	3466	866
480	3473	859
481	3479	851
482	3486	844
483	3493	837
484	3499	829
485	3506	822
486	3512	815
487	3519	807
488	3526	800
489	3533	793
490	3539	785
491	3546	778
492	3552	771
493	3559	763
494	3567	756
495	3576	749
496	3583	742
497	3589	735
498	3596	727
499	3602	720
500	3609	713
501	3615	705
502	3622	698
503	3629	691
504	3635	683
505	3642	676
506	3648	669
507	3655	662
508	3662	654
509	3669	647
510	3675	640
511	3682	632
512	3688	625
513	3695	618
514	3702	611
515	3708	603
516	3715	596
517	3721	589
518	3728	581
519	3735	574
520	3742	567
521	3749	560
522	3756	553
523	3763	545
524	3770	538
525	3777	531
526	3783	524
527	3790	516
528	3796	509
529	3803	502
530	3810	495
531	3816	487
532	3823	480
533	3830	473
534	3836	466
535	3843	458
536	3849	451
537	3856	444
538	3862	437
539	3869	429
540	3875	422
541	3882	415
542	3889	408
543	3895	401
544	3902	393
545	3908	386
546	3916	379
547	3922	372
548	3929	365
549	3937	357
550	3945	350
551	3951	343
552	3958	336
553	3964	329
554	3973	322
555	3980	314
556	3986	307
557	3993	300
558	4000	293
559	4006	286
560	4013	279
561	4020	271
562	4027	264
563	4033	257
564	4040	250
565	4046	243
566	4053	235
567	4059	228
568	4066	221
569	4073	214
570	4081	207
571	4087	200
572	4094	192
573	4100	185
574	4107	178
575	4115	171
576	4123	164
577	4131	157
578	4137	150
579	4144	142
580	4152	135
581	4158	128
582	4165	121
583	4172	114
584	4178	107
585	4185	100
586	4192	92
587	4199	85
588	4205	78
589	4212	71
590	4219	64
591	4226	57
592	4233	49
593	4240	42
594	4247	35
595	4254	28
596	4260	21
597	4267	14
598	4274	7
599	4280	0
